2859,6434,1594,2011,937,2558,3495,1679,1783,611,1304,474,402,1141,7714,3015,6907,1530,2013,1072,2420,3492,1771,1668,738,1020,399,446,1243,8006,93.235313,35,47
2700,6509,1480,1994,849,2471,3320,1575,1758,720,1105,303,719,2155,7599,2804,6450,1560,2084,937,2750,3687,1824,1798,617,1256,368,463,1400,7631,92.641571,44,38
2991,6714,1455,2014,985,2541,3526,1782,2028,605,1330,461,349,997,7786,2991,6817,1794,2394,1117,2572,3689,1949,1795,769,1163,413,431,1333,8207,95.864136,30,52
2850,6746,1502,2012,1118,2542,3660,1712,1864,636,1430,521,293,896,7495,3072,6786,1712,2219,932,2491,3423,1972,1709,802,1112,486,428,1197,8284,96.009911,17,65
3161,6982,1486,1793,912,2544,3456,1837,1730,665,906,449,636,1668,8444,2926,6687,1477,2032,1045,2681,3726,1781,1744,546,1259,318,477,1401,7806,94.041801,60,22
2689,6544,1294,1850,1112,2363,3475,1737,2056,712,1425,422,229,824,6901,2696,6087,1768,2337,861,2443,3304,1764,1788,742,1339,532,420,1134,7580,92.254524,17,65
2700,6277,1559,2021,883,2445,3328,1620,1748,556,1043,468,533,1488,7492,2744,6269,1413,1895,859,2528,3387,1500,1903,568,1098,344,289,839,7190,88.650963,50,32
3061,6941,1853,2382,1284,2546,3830,1712,1786,594,1246,506,425,1235,8400,3240,7175,1575,2084,1204,2388,3592,1934,1937,710,1083,490,438,1177,8493,96.229904,38,44
2840,6461,1567,2042,1024,2564,3588,1506,1602,594,1198,493,439,1267,7686,2891,6681,1399,1805,979,2353,3332,1683,1794,663,1041,378,386,1113,7567,91.084442,43,39
2911,6608,1739,2271,1004,2622,3626,1910,1811,696,1150,443,379,1119,7940,2860,6690,1527,1992,1006,2458,3464,1696,1922,621,1208,506,407,1197,7654,93.810448,48,34
2835,6490,1633,2177,1008,2462,3470,1606,1784,574,1246,461,390,1177,7693,3035,6787,1507,1946,1046,2460,3506,1840,1843,652,1099,418,454,1244,8031,92.966728,27,55
3091,6856,1562,2129,1078,2554,3632,1909,1874,639,1152,470,486,1367,8230,2976,6725,1622,2133,958,2494,3452,1753,1915,644,1134,308,465,1223,8039,94.925896,50,32
3049,6743,1430,1936,943,2466,3409,1892,1678,651,1214,500,467,1279,7995,3224,7008,1381,1819,1126,2555,3681,1991,1781,714,1172,424,431,1188,8260,95.010025,28,54
